Image,BER_Normal,BER_Robust,BER_Gain,Keep_Normal,Keep_Robust,Keep_Gain,Changes_Normal,Changes_Robust,Change_Ratio,Winner
1.jpg,0.516143497757848,0.495515695067265,0.020627802690583,0.998825073242188,0.998809814453125,-1.52587890625e-05,158299,158301,1.0000126343186,Robust
10.jpg,0.502612671456564,0.506531678641411,-0.0039190071848465,0.9998779296875,0.999889373779297,1.1444091796875e-05,221147,221150,1.00001356563734,Normal
2.jpg,0.496815286624204,0.507734303912648,-0.010919017288444,0.999988555908203,0.999988555908203,0,164359,164367,1.00004867393936,Normal
3.jpg,0.491159135559921,0.488408644400786,0.00275049115913556,0.998367309570312,0.998332977294922,-3.4332275390625e-05,210697,210683,0.999933553871199,Robust
4.jpg,0.489103101424979,0.494970662196144,-0.00586756077116513,0.999778747558594,0.999782562255859,3.814697265625e-06,197088,197063,0.999873153109271,Normal
5.jpg,0.497714575926866,0.495175215845607,0.00253936008125949,0.999973297119141,0.999973297119141,0,195391,195406,1.00007676914495,Robust
6.jpg,0.493876199933797,0.505792783846408,-0.0119165839126117,0.999923706054688,0.999923706054688,0,218973,218972,0.999995433226928,Normal
7.jpg,0.499353169469599,0.494178525226391,0.00517464424320829,0.999355316162109,0.999290466308594,-6.4849853515625e-05,204466,204452,0.99993152895836,Robust
8.jpg,0.518043303929431,0.505212510024058,0.0128307939053729,0.999923706054688,0.999927520751953,3.814697265625e-06,198815,198811,0.999979880793703,Robust
9.jpg,0.505087209302326,0.502180232558139,0.00290697674418605,0.999996185302734,0.999996185302734,0,205364,205348,0.999922089558053,Robust
